448,447,6172.966142,15,KERNEL_WRITE,19
449,0,6172.967554,15,KERNEL_WRITE,19
450,449,6172.967648,15,KERNEL_WRITE,19
451,0,6172.969059,15,KERNEL_WRITE,19
452,451,6172.969154,15,KERNEL_WRITE,19
453,0,6172.970565,15,KERNEL_WRITE,19
454,453,6172.970659,15,KERNEL_WRITE,19
455,0,6172.972071,15,KERNEL_WRITE,19
456,455,6172.972165,15,KERNEL_WRITE,19
457,0,6172.973577,15,KERNEL_WRITE,19
458,457,6172.973671,15,KERNEL_WRITE,19
459,0,6172.975083,15,KERNEL_WRITE,19
460,459,6172.975177,15,KERNEL_WRITE,19
461,0,6172.976589,15,KERNEL_WRITE,19
462,461,6172.976683,15,KERNEL_WRITE,19
463,0,6172.978095,15,KERNEL_WRITE,19
464,463,6172.978189,15,KERNEL_WRITE,19
465,0,6172.979601,15,KERNEL_WRITE,19
466,465,6172.979695,15,KERNEL_WRITE,19
467,0,6172.981107,15,KERNEL_WRITE,19
468,467,6172.981201,15,KERNEL_WRITE,19
469,0,6172.982612,15,KERNEL_WRITE,19
470,469,6172.982707,15,KERNEL_WRITE,19
471,0,6172.984118,15,KERNEL_WRITE,19
472,471,6172.984212,15,KERNEL_WRITE,19
473,0,6172.985624,15,KERNEL_WRITE,19
474,473,6172.985718,15,KERNEL_WRITE,19
475,0,6172.987130,15,KERNEL_WRITE,19
476,475,6172.987224,15,KERNEL_WRITE,19
477,0,6172.988636,15,KERNEL_WRITE,19
478,477,6172.988730,15,KERNEL_WRITE,19
479,0,6172.990142,15,KERNEL_WRITE,19
480,479,6172.990236,15,KERNEL_WRITE,19
481,0,6172.991648,15,KERNEL_WRITE,19
482,481,6172.991742,15,KERNEL_WRITE,19
483,0,6172.993154,15,KERNEL_WRITE,19
484,483,6172.993248,15,KERNEL_WRITE,19
485,0,6172.994659,15,KERNEL_WRITE,19
486,485,6172.994754,15,KERNEL_WRITE,19
487,0,6172.996165,15,KERNEL_WRITE,19
488,487,6172.996259,15,KERNEL_WRITE,19
489,0,6172.997671,15,KERNEL_WRITE,19
490,489,6172.997765,15,KERNEL_WRITE,19
491,0,6172.999177,15,KERNEL_WRITE,19
492,491,6172.999271,15,KERNEL_WRITE,19
493,0,6173.000683,15,KERNEL_WRITE,19
494,493,6173.000777,15,KERNEL_WRITE,19
495,0,6173.002189,15,KERNEL_WRITE,19
496,495,6173.002283,15,KERNEL_WRITE,19
497,0,6173.003695,15,KERNEL_WRITE,19
498,497,6173.003789,15,KERNEL_WRITE,19
499,0,6173.005201,15,KERNEL_WRITE,19
500,499,6173.005295,15,KERNEL_WRITE,19
501,0,6173.006707,15,KERNEL_WRITE,19
502,501,6173.006801,15,KERNEL_WRITE,19
503,0,6173.008212,15,KERNEL_WRITE,19
504,503,6173.008307,15,KERNEL_WRITE,19
505,0,6173.009718,15,KERNEL_WRITE,19
506,505,6173.009812,15,KERNEL_WRITE,19
507,0,6173.011224,15,KERNEL_WRITE,19
508,507,6173.011318,15,KERNEL_WRITE,19
509,0,6173.012730,15,KERNEL_WRITE,19
510,509,6173.012824,15,KERNEL_WRITE,19
511,0,6173.014236,15,KERNEL_WRITE,19
512,511,6173.014330,15,KERNEL_WRITE,19
513,0,6173.015742,15,KERNEL_WRITE,19
514,513,6173.015836,15,KERNEL_WRITE,19
515,0,6173.017248,15,KERNEL_WRITE,19
516,515,6173.017342,15,KERNEL_WRITE,19
517,0,6173.018754,15,KERNEL_WRITE,19
518,517,6173.018848,15,KERNEL_WRITE,19
519,0,6173.020259,15,KERNEL_WRITE,19
520,519,6173.020354,15,KERNEL_WRITE,19
521,0,6173.021765,15,KERNEL_WRITE,19
522,521,6173.021859,15,KERNEL_WRITE,19
523,0,6173.023271,15,KERNEL_WRITE,19
524,523,6173.023365,15,KERNEL_WRITE,19
525,0,6173.024777,15,KERNEL_WRITE,19
526,525,6173.024871,15,KERNEL_WRITE,19
527,0,6173.026283,15,KERNEL_WRITE,19
528,527,6173.026377,15,KERNEL_WRITE,19
529,0,6173.027789,15,KERNEL_WRITE,19
530,529,6173.027883,15,KERNEL_WRITE,19
531,0,6173.029295,15,KERNEL_WRITE,19
532,531,6173.029389,15,KERNEL_WRITE,19
533,0,6173.030801,15,KERNEL_WRITE,19
534,533,6173.030895,15,KERNEL_WRITE,19
535,0,6173.032307,15,KERNEL_WRITE,19
536,535,6173.032401,15,KERNEL_WRITE,19
537,0,6173.033812,15,KERNEL_WRITE,19
538,537,6173.033907,15,KERNEL_WRITE,19
539,0,6173.035318,15,KERNEL_WRITE,19
540,539,6173.035412,15,KERNEL_WRITE,19
541,0,6173.036824,15,KERNEL_WRITE,19
542,541,6173.036918,15,KERNEL_WRITE,19
543,0,6173.038330,15,KERNEL_WRITE,19
544,543,6173.038424,15,KERNEL_WRITE,19
545,0,6173.039836,15,KERNEL_WRITE,19
546,545,6173.039930,15,KERNEL_WRITE,19
547,0,6173.041342,15,KERNEL_WRITE,19
548,547,6173.041436,15,KERNEL_WRITE,19
549,0,6173.042848,15,KERNEL_WRITE,19
550,549,6173.042942,15,KERNEL_WRITE,19
551,0,6173.044354,15,KERNEL_WRITE,19
552,551,6173.044448,15,KERNEL_WRITE,19
553,0,6173.045859,15,KERNEL_WRITE,19
554,553,6173.045954,15,KERNEL_WRITE,19
555,0,6173.047365,15,KERNEL_WRITE,19
556,555,6173.047459,15,KERNEL_WRITE,19
557,0,6173.048871,15,KERNEL_WRITE,19
558,557,6173.048965,15,KERNEL_WRITE,19
559,0,6173.050377,15,KERNEL_WRITE,19
560,559,6173.050471,15,KERNEL_WRITE,19
561,0,6173.051883,15,KERNEL_WRITE,19
562,561,6173.051977,15,KERNEL_WRITE,19
563,0,6173.053389,15,KERNEL_WRITE,19
564,563,6173.053483,15,KERNEL_WRITE,19
565,0,6173.054895,15,KERNEL_WRITE,19
566,565,6173.054989,15,KERNEL_WRITE,19
567,0,6173.056401,15,KERNEL_WRITE,19
568,567,6173.056495,15,KERNEL_WRITE,19
569,0,6173.057907,15,KERNEL_WRITE,19
570,569,6173.058001,15,KERNEL_WRITE,19
571,0,6173.059412,15,KERNEL_WRITE,19
572,571,6173.059507,15,KERNEL_WRITE,19
573,0,6173.060918,15,KERNEL_WRITE,19
574,573,6173.061012,15,KERNEL_WRITE,19
575,0,6173.062424,15,KERNEL_WRITE,19
576,575,6173.062518,15,KERNEL_WRITE,19
577,0,6173.063930,15,KERNEL_WRITE,19
578,577,6173.064024,15,KERNEL_WRITE,19
579,0,6173.065436,15,KERNEL_WRITE,19
580,579,6173.065530,15,KERNEL_WRITE,19
581,0,6173.066942,15,KERNEL_WRITE,19
582,581,6173.067036,15,KERNEL_WRITE,19
583,0,6173.068448,15,KERNEL_WRITE,19
584,583,6173.068542,15,KERNEL_WRITE,19
585,0,6173.069954,15,KERNEL_WRITE,19
586,585,6173.070048,15,KERNEL_WRITE,19
587,0,6173.071459,15,KERNEL_WRITE,19
