edge_from,edge_to,scores,labels
761,1378,6.969110108911991e-05,-1
761,1377,5.018954652769025e-06,-1
732,1370,1.7908462268678704e-06,-1
846,1458,1.2836166263241466e-07,-1
848,1459,0.00022974095190875232,-1
784,1122,4.599692147166934e-06,-1
786,1122,4.782553332915995e-06,-1
787,1122,3.1247170682036085e-06,-1
784,1124,5.5111184337874874e-05,-1
786,1124,5.588289582192374e-07,-1
787,1124,3.382599061296787e-06,-1
784,1123,8.008220220290241e-07,-1
787,1123,5.995164542582643e-07,-1
215,1121,9.870698704617098e-05,-1
216,1121,0.00022178085055202246,-1
975,1484,1.2945748494530562e-05,-1
785,1344,3.1295485314331017e-06,-1
845,1411,1.7798540739022428e-06,-1
846,1411,9.989726379444619e-08,-1
793,1144,3.656413980479556e-07,-1
773,1144,6.406937700376147e-07,-1
794,1144,6.408954504877329e-07,-1
827,1656,3.3136082493001595e-05,-1
737,1105,3.514932905090973e-05,-1
830,1409,9.585497764419415e-07,-1
831,1409,1.903335487440927e-06,-1
899,1216,1.948529416040401e-06,-1
900,1216,2.41761222241621e-06,-1
901,1216,2.4650736918374605e-07,-1
710,1170,1.2228316847995302e-07,-1
705,1137,1.6929621438066533e-07,-1
705,1136,0.00021641833882313222,-1
817,1171,2.9390926101768855e-06,-1
869,1154,0.0001347806683043018,-1
693,1637,5.314522582011705e-07,-1
936,1218,0.00010359744192101061,-1
837,1425,1.6366757336072624e-06,-1
672,1123,3.2090119361782854e-07,-1
859,1219,6.504466728074476e-05,-1
882,1219,1.6232206689892337e-06,-1
248,1137,3.496492695376219e-07,-1
713,1100,3.524635303620016e-07,-1
703,1100,3.387212245797855e-06,-1
873,1237,9.419234629604034e-06,-1
853,1238,9.872890416318114e-08,-1
691,1120,0.0003729331656359136,-1
788,1143,1.2371668844934902e-07,-1
789,1143,1.242345462060257e-07,-1
770,1143,1.1575848191114346e-07,-1
788,1144,5.132829414833395e-07,-1
789,1144,4.81721826872672e-07,-1
770,1144,6.602692224078055e-07,-1
790,1144,5.198338044465345e-07,-1
933,1258,2.9100085612299154e-06,-1
774,1202,3.1171109071692626e-07,-1
801,1202,2.0068298908881843e-05,-1
369,1250,0.0006080858292989433,-1
370,1250,3.7866388993279543e-06,-1
976,1440,1.8730872398009524e-05,-1
964,1441,2.9870084290450905e-06,-1
182,1121,4.8909481847658753e-05,-1
821,1152,2.9810212254233193e-07,-1
873,1480,3.875497895933222e-06,-1
750,1200,1.0482790457899682e-07,-1
682,1123,4.9752920858736616e-06,-1
800,1345,5.04836680192966e-05,-1
767,1344,4.951786536366853e-07,-1
935,1482,5.931413511461869e-07,-1
948,1482,7.089147970873455e-07,-1
749,1234,7.234314398374408e-05,-1
750,1234,3.195053432136774e-05,-1
849,1408,3.17308263220184e-06,-1
879,1424,9.938002222042996e-06,-1
883,1424,6.315618747976259e-07,-1
879,1423,3.860834112856537e-06,-1
882,1423,2.2068935834340664e-07,-1
883,1423,2.656893514085823e-07,-1
943,1482,5.784760105598252e-06,-1
961,1264,4.106523920199834e-05,-1
952,1426,1.1502284905873239e-05,-1
971,1429,0.00010414358985144645,-1
714,1103,4.103868036509084e-07,-1
715,1103,6.240105108190619e-07,-1
892,1480,0.00010959005885524675,-1
628,1329,2.1283423848217353e-05,-1
760,1378,9.744894668983761e-06,-1
760,1377,2.617256768644438e-06,-1
730,1370,2.501425058198947e-07,-1
731,1370,1.0133308592230605e-07,-1
890,1216,0.00021375420328695327,-1
847,1429,0.00018582187476567924,-1
847,1426,9.537534424453042e-07,-1
869,1238,2.851275667126174e-06,-1
853,1138,0.9973180890083313,-1
797,1144,3.7455555457199807e-07,-1
943,1457,2.2342794181895442e-05,-1
786,1143,1.0136537298421899e-07,-1
